field_id,ph_level,nitrogen,phosphorus,potassium,moisture,organic_matter,temperature,humidity,rainfall,recommended_fertilizer,quantity,nitrogen_content,phosphorus_content,potassium_content,tea_weight,quality_grade
40,5.2,5.1,22.0,29.0,48.0,43.0,19.73,58.0,0.0,Organic Manure,80.0,12.0,8.0,10.0,159.0,A
40,5.2,5.1,22.0,29.0,48.0,43.0,13.71,88.0,0.0,Organic Manure,80.0,12.0,8.0,10.0,159.0,A
40,5.2,5.1,22.0,29.0,48.0,43.0,12.62,92.0,1.54,Organic Manure,80.0,12.0,8.0,10.0,159.0,A
45,4.3,5.1,25.0,32.0,45.0,41.0,31.3,41.0,0.0,NPK 15-15-15,40.0,15.0,15.0,15.0,142.0,B
45,4.3,5.1,25.0,32.0,45.0,41.0,24.9,67.0,0.0,NPK 15-15-15,40.0,15.0,15.0,15.0,142.0,B
45,4.3,5.1,25.0,32.0,45.0,41.0,23.58,70.0,0.0,NPK 15-15-15,40.0,15.0,15.0,15.0,142.0,B
42,5.8,4.5,20.0,30.0,60.0,45.0,25.29,62.0,0.0,Potassium Fertilizer,25.0,0.0,0.0,50.0,101.0,C
42,5.8,4.5,20.0,30.0,60.0,45.0,19.51,93.0,0.0,Potassium Fertilizer,25.0,0.0,0.0,50.0,101.0,C
42,5.8,4.5,20.0,30.0,60.0,45.0,18.71,96.0,1.15,Potassium Fertilizer,25.0,0.0,0.0,50.0,101.0,C
42,5.8,4.5,20.0,30.0,60.0,45.0,25.29,62.0,0.0,Urea,30.0,46.0,0.0,0.0,101.0,C
42,5.8,4.5,20.0,30.0,60.0,45.0,19.51,93.0,0.0,Urea,30.0,46.0,0.0,0.0,101.0,C
42,5.8,4.5,20.0,30.0,60.0,45.0,18.71,96.0,1.15,Urea,30.0,46.0,0.0,0.0,101.0,C
